Zip Codes,Senior Centers,Elderly(over 65),Kids Under 5,Cooling Centers,Caregiver (Organizations),Percent 100% Below Poverty Threshold 2013-2017,Percent Between 100% and 150% of Poverty Threshold 2013-2017,Total Percent Below 150% of Poverty Threshold 2013-2017,Affordable housing(buildings),Affordable housing total units
10098,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10099,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10103,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10104,0,13.32%,6.10%,0,0,11.3,9.6,20.9,0,0
10105,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10106,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10107,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10110,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10111,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10112,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10115,0,14.71%,2.80%,0,0,20.7,25.9,46.6,0,0
10118,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10119,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10120,0,13.32%,6.10%,0,0,11.3,9.6,20.9,0,0
10121,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10122,0,13.43%,3.20%,0,0,9.2,8.3,17.5,0,0
10123,0,13.43%,3.20%,0,0,9.2,8.3,17.5,0,0
10128,1,20.82%,5.10%,0,0,7.2,6,13.2,7,802
10151,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10152,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10153,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10154,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10155,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10158,0,15.47%,3.60%,0,0,9.8,8.2,18,1,372
10161,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10162,0,20.82%,5.10%,0,0,7.2,6,13.2,0,0
10165,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10166,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10167,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10168,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10169,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10170,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10171,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10172,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10173,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10174,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10175,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10176,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10177,0,25.02%,3.40%,0,0,9.8,8.2,18,0,0
10178,0,13.32%,6.10%,0,0,9.8,8.2,18,0,0
10199,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10270,0,21.90%,3.20%,0,0,9.8,8.2,18,0,0
10271,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10278,0,13.32%,6.10%,0,0,8.8,5.9,14.7,0,0
10279,0,13.32%,6.10%,0,0,8.8,5.9,14.7,0,0
